FECHA_REGISTRO,BEV,PHEV,Google_Trends,IPC,IPP,Precio_gasolina,Precio_Promedio_BEV,Precio_Promedio_PHEV
2017-01,6,7,0,94.07,108.12,0.73,57024.74440038775,31858.663570057786
2017-02,16,5,0,95.01,107.48,0.72,57030.07036398887,31862.85415459799
2017-03,26,1,0,95.46,107.31,0.76,57035.39632758998,31867.04473913819
2017-04,9,0,0,95.91,106.87,0.76,57040.722291191094,31871.23532367839
2017-05,11,5,0,96.12,106.39,0.77,57046.04825479221,31875.425908218593
2017-06,5,8,0,96.23,105.86,0.74,57051.37421839332,31879.616492758792
2017-07,5,4,0,96.18,107.1,0.75,57056.700181994434,31883.807077298992
2017-08,10,1,0,96.32,107.7,0.78,57062.02614559555,31887.997661839196
2017-09,16,7,8,96.36,108.17,0.79,57067.35210919666,31892.188246379395
2017-10,9,5,0,96.37,109.04,0.76,57072.678072797775,31896.378830919595
2017-11,12,5,13,96.55,110.76,0.77,57078.00403639889,31900.5694154598
2017-12,1,13,22,96.92,111.29,0.79,57083.33,31904.76
2018-01,9,17,13,97.53,111.5,0.83,57088.66193333334,31908.957199999997
2018-02,9,13,17,98.22,111.35,0.83,57093.99386666667,31913.1544
2018-03,18,13,18,98.45,111.14,0.85,57099.3258,31917.351599999998
2018-04,1,22,15,98.91,111.41,0.85,57104.65773333333,31921.548799999997
2018-05,19,29,13,99.16,113.86,0.83,57109.98966666667,31925.746
2018-06,23,21,10,99.31,113.72,0.83,57115.321599999996,31929.943199999998
2018-07,20,15,13,99.18,113.45,0.85,57120.65353333333,31934.140399999997
2018-08,11,29,0,99.3,113.26,0.83,57125.985466666665,31938.3376
2018-09,22,45,18,99.47,115.97,0.82,57131.3174,31942.534799999998
2018-10,37,68,19,99.59,117.52,0.78,57136.649333333335,31946.731999999996
2018-11,54,115,29,99.7,115.67,0.77,57141.98126666666,31950.9292
2018-12,55,149,31,100.0,113.86,0.78,57147.3132,31955.126399999997
2019-01,25,46,18,100.6,114.53,0.79,57161.001628,31952.950105999997
2019-02,38,120,22,101.18,115.6,0.81,57174.690056,31950.773812
2019-03,21,117,30,101.62,116.37,0.8,57188.378484,31948.597518
2019-04,44,118,28,102.12,118.03,0.78,57202.066911999995,31946.421223999998
2019-05,63,159,18,102.44,119.91,0.75,57215.755339999996,31944.244929999997
2019-06,35,89,26,102.71,117.99,0.79,57229.443768,31942.068635999996
2019-07,74,115,27,102.94,118.68,0.79,57243.132196,31939.892342
2019-08,90,124,35,103.03,118.91,0.74,57256.820624,31937.716048
2019-09,75,133,32,103.26,120.35,0.74,57270.509051999994,31935.539753999998
2019-10,56,177,35,103.43,120.34,0.76,57284.197479999995,31933.36346
2019-11,52,418,36,103.54,120.31,0.74,57297.885908,31931.187166
2019-12,54,356,39,103.8,120.79,0.78,57311.574336,31929.010872
2020-01,33,235,23,104.24,119.91,0.76,57333.45212877333,31931.557170546665
2020-02,69,183,28,104.94,118.69,0.74,57355.32992154666,31934.10346909333
2020-03,76,149,32,105.53,116.16,0.55,57377.20771432,31936.64976764
2020-05,36,265,24,105.7,112.33,0.54,57420.963299866664,31941.74236473333
2020-06,48,298,25,105.36,113.73,0.59,57442.841092639996,31944.28866328
2020-07,31,245,31,104.97,115.73,0.58,57464.71888541333,31946.834961826666
2020-08,18,267,38,104.97,117.49,0.59,57486.59667818666,31949.38126037333
2020-09,42,353,30,104.96,119.31,0.58,57508.47447095999,31951.927558919997
2020-10,47,507,53,105.29,118.78,0.56,57530.35226373333,31954.473857466663
2020-11,30,649,57,105.23,119.52,0.56,57552.23005650666,31957.020156013332
2020-12,69,843,57,105.08,119.54,0.61,57574.10784927999,31959.566454559998
2021-01,34,320,60,105.48,119.74,0.65,57611.81878619786,32057.897310469063
2021-02,89,393,41,105.91,123.03,0.63,57649.52972311573,32156.228166378132
2021-03,53,609,43,106.58,126.19,0.63,57687.240660033596,32254.559022287198
2021-04,26,606,33,107.12,129.23,0.62,57724.95159695146,32352.889878196263
2021-05,37,899,36,107.76,130.88,0.63,57762.66253386933,32451.22073410533
2021-06,30,1947,37,108.84,135.01,0.63,57800.37347078719,32549.551590014395
2021-07,63,1664,39,108.78,136.76,0.62,57838.084407705064,32647.882445923464
2021-08,43,1100,39,109.14,139.03,0.6,57875.79534462293,32746.21330183253
2021-09,73,910,39,109.62,140.32,0.62,57913.506281540795,32844.5441577416
2021-10,109,1690,35,110.04,142.14,0.61,57951.21721845867,32942.875013650664
2021-11,161,1918,42,110.06,146.17,0.62,57988.92815537653,33041.20586955973
2021-12,169,1630,40,110.6,150.39,0.6,58026.6390922944,33139.536725468795
2022-01,109,1151,60,111.41,151.53,0.57,58110.06074380724,33224.21026425968
2022-02,136,1196,58,113.26,159.25,0.63,58193.48239532008,33308.883803050565
2022-03,143,1545,44,115.11,165.4,0.64,58276.904046832926,33393.55734184145
2022-04,0,2483,45,116.26,172.86,0.65,58360.32569834577,33478.230880632334
2022-04,107,2483,46,117.71,175.83,0.63,58360.32569834577,33478.230880632334
2022-05,219,2503,45,118.7,181.71,0.63,58443.74734985861,33562.90441942322
2022-06,102,1909,44,119.31,180.03,0.61,58527.169001371454,33647.57795821411
2022-07,138,1965,48,120.27,184.9,0.49,58610.5906528843,33732.251497004996
2022-08,128,2552,42,121.5,181.19,0.56,58694.01230439714,33816.92503579588
2022-09,101,2083,62,122.63,180.9,0.55,58777.43395590998,33901.598574586766
2022-10,253,1792,50,123.51,184.68,0.5,58860.855607422825,33986.27211337765
2022-11,230,1532,57,124.46,187.27,0.51,58944.27725893567,34070.945652168535
2022-12,232,1866,58,126.03,184.57,0.55,59027.69891044851,34155.61919095942
2023-01,178,1167,59,128.27,185.05,0.58,59270.5050789311,34521.72555897449
2023-02,323,2176,47,130.4,187.15,0.56,59513.31124741369,34887.83192698956
2023-03,316,2162,43,131.77,185.11,0.59,59756.11741589627,35253.93829500462
2023-04,314,1699,39,132.8,182.27,0.64,59998.923584378856,35620.04466301969
2023-05,242,2343,100,133.38,178.28,0.7,60241.72975286144,35986.15103103476
2023-06,246,2709,56,133.78,174.08,0.78,60484.535921344024,36352.25739904982
2023-07,212,2316,47,134.45,173.02,0.87,60727.34208982661,36718.36376706489
2023-08,291,2494,55,135.39,176.26,0.9,60970.1482583092,37084.47013507996
2023-09,318,2590,52,136.11,179.13,0.91,61212.95442679179,37450.57650309503
2023-10,287,2066,70,136.45,180.13,0.88,61455.760595274376,37816.6828711101
2023-11,457,2900,60,137.09,176.45,0.97,61698.56676375696,38182.78923912516
2023-12,493,3191,72,137.72,173.88,0.98,61941.372932239545,38548.89560714023
2024-01,217,1997,63,138.98,174.91,1.03,62190.49781068581,38730.15133112833
2024-02,395,3287,55,140.49,176.77,1.03,62439.62268913208,38911.407055116426
2024-03,380,3014,54,141.48,177.57,1.05,62688.74756757835,39092.662779104525
2024-04,362,3473,46,142.32,179.17,1.05,62937.872446024616,39273.918503092624
2024-05,392,2531,52,142.92,177.83,1.05,63186.99732447088,39455.17422708072
2024-06,653,2871,52,143.38,180.15,1.05,63436.12220291715,39636.42995106883
2024-07,778,3467,48,143.67,180.55,1.05,63685.24708136341,39817.68567505693
2024-08,664,3656,63,143.67,178.54,1.02,63934.37195980968,39998.94139904503
2024-09,740,4121,54,144.02,179.93,0.98,64183.496838255945,40180.197123033126
2024-10,1079,3809,55,143.83,181.96,0.93,64432.62171670222,40361.452847021224
2024-11,1580,4837,80,144.22,184.92,0.94,64681.746595148485,40542.70857100932
2024-12,1937,5605,75,144.88,186.42,0.98,64930.87147359475,40723.96429499742
